Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,credit_duration_ratio
67,1,2,1,4,0,1169,6,5,0,194.83333333333334
22,0,2,1,0,1,5951,48,5,1,123.97916666666667
49,1,1,1,0,3,2096,12,3,0,174.66666666666666
45,1,2,0,0,0,7882,42,4,0,187.66666666666666
53,1,2,0,0,0,4870,24,1,1,202.91666666666666
35,1,1,0,4,3,9055,36,3,0,251.52777777777777
53,1,2,1,2,3,2835,24,4,0,118.125
35,1,3,2,0,1,6948,36,1,0,193.0
61,1,1,1,3,3,3059,12,5,0,254.91666666666666
28,1,3,1,0,1,5234,30,1,1,174.46666666666667
25,0,2,2,0,1,1295,12,1,1,107.91666666666667
24,0,2,2,0,0,4308,48,0,1,89.75
22,0,2,1,0,1,1567,12,5,0,130.58333333333334
60,1,1,1,0,0,1199,24,1,1,49.958333333333336
28,0,2,2,0,0,1403,15,1,0,93.53333333333333
32,0,1,1,1,0,1282,24,5,1,53.416666666666664
53,1,2,1,4,3,2424,24,5,0,101.0
25,1,2,1,4,0,8072,30,0,0,269.06666666666666
44,0,3,0,0,1,12579,24,1,1,524.125
31,1,2,1,2,3,3430,24,5,0,142.91666666666666
48,1,2,1,0,3,2134,9,1,0,237.11111111111111
44,1,2,2,2,0,2647,6,5,0,441.1666666666667
48,1,1,2,0,0,2241,10,1,0,224.1
44,1,2,1,1,1,1804,12,1,0,150.33333333333334
26,1,2,1,4,3,2069,10,4,0,206.9
36,1,1,1,0,0,1374,6,4,0,229.0
39,1,1,1,0,3,426,6,5,0,71.0
42,0,2,2,3,2,409,12,5,0,34.083333333333336
34,1,2,1,0,1,2415,7,5,0,345.0
63,1,2,1,0,0,6836,60,0,1,113.93333333333334
36,1,2,1,3,1,1913,18,0,0,106.27777777777777
27,1,2,1,0,0,4020,24,4,0,167.5
30,1,2,1,1,1,5866,18,1,0,325.8888888888889
57,1,1,2,4,3,1264,12,0,0,105.33333333333333
33,0,3,1,0,2,1474,12,4,0,122.83333333333333
25,1,1,1,0,1,4746,45,5,1,105.46666666666667
31,1,2,0,0,3,6110,48,3,0,127.29166666666667
37,1,2,1,0,2,2100,18,5,1,116.66666666666667
37,1,2,1,0,2,1225,10,2,0,122.5
24,1,2,1,0,1,458,9,5,0,50.888888888888886
30,1,3,1,2,3,2333,30,5,0,77.76666666666667
26,1,2,1,2,1,1158,12,5,0,96.5
44,1,1,1,0,1,6204,18,6,0,344.6666666666667
24,1,2,2,1,0,6187,30,1,0,206.23333333333332
58,0,1,0,0,0,6143,48,1,1,127.97916666666667
35,0,3,1,0,3,1393,11,1,0,126.63636363636364
39,1,2,1,2,3,2299,36,5,0,63.861111111111114
23,0,0,2,2,0,1352,6,1,0,225.33333333333334
39,1,1,1,0,3,7228,11,1,0,657.0909090909091
28,0,2,1,1,3,2073,12,5,0,172.75
29,1,1,1,4,1,2333,24,4,0,97.20833333333333
30,1,3,1,0,1,5965,27,1,0,220.92592592592592
25,1,2,1,0,3,1262,12,5,0,105.16666666666667
31,1,2,1,4,3,3378,18,1,0,187.66666666666666
57,1,2,0,0,1,2225,36,1,1,61.80555555555556
26,1,1,1,4,3,783,6,1,0,130.5
52,1,3,1,4,1,6468,12,5,1,539.0
31,0,2,1,0,3,9566,36,5,0,265.72222222222223
23,0,3,1,0,2,1961,18,1,0,108.94444444444444
23,0,1,2,0,0,6229,36,4,1,173.02777777777777
27,1,2,1,0,1,1391,9,0,0,154.55555555555554
50,1,2,1,4,1,1537,15,5,0,102.46666666666667
61,1,3,0,0,1,1953,36,0,1,54.25
25,1,2,1,0,1,14421,48,0,1,300.4375
26,0,2,1,0,3,3181,24,5,0,132.54166666666666
48,1,2,1,4,3,5190,27,6,0,192.22222222222223
29,0,2,1,0,3,2171,12,5,0,180.91666666666666
22,1,2,1,3,1,1007,12,1,0,83.91666666666667
37,1,2,0,0,3,1819,36,3,1,50.52777777777778
25,0,2,1,4,3,2394,36,5,0,66.5
30,0,2,1,0,3,8133,36,1,0,225.91666666666666
