Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,credit_duration_ratio
67,male,2,own,unknown,little,1169,6,radio/TV,good,194.83333333333334
22,female,2,own,little,moderate,5951,48,radio/TV,bad,123.97916666666667
49,male,1,own,little,unknown,2096,12,education,good,174.66666666666666
45,male,2,free,little,little,7882,42,furniture/equipment,good,187.66666666666666
53,male,2,free,little,little,4870,24,car,bad,202.91666666666666
35,male,1,free,unknown,unknown,9055,36,education,good,251.52777777777777
53,male,2,own,quite rich,unknown,2835,24,furniture/equipment,good,118.125
35,male,3,rent,little,moderate,6948,36,car,good,193.0
61,male,1,own,rich,unknown,3059,12,radio/TV,good,254.91666666666666
28,male,3,own,little,moderate,5234,30,car,bad,174.46666666666667
25,female,2,rent,little,moderate,1295,12,car,bad,107.91666666666667
24,female,2,rent,little,little,4308,48,business,bad,89.75
22,female,2,own,little,moderate,1567,12,radio/TV,good,130.58333333333334
60,male,1,own,little,little,1199,24,car,bad,49.958333333333336
28,female,2,rent,little,little,1403,15,car,good,93.53333333333333
32,female,1,own,moderate,little,1282,24,radio/TV,bad,53.416666666666664
53,male,2,own,unknown,unknown,2424,24,radio/TV,good,101.0
25,male,2,own,unknown,little,8072,30,business,good,269.06666666666666
44,female,3,free,little,moderate,12579,24,car,bad,524.125
31,male,2,own,quite rich,unknown,3430,24,radio/TV,good,142.91666666666666
48,male,2,own,little,unknown,2134,9,car,good,237.11111111111111
44,male,2,rent,quite rich,little,2647,6,radio/TV,good,441.1666666666667
48,male,1,rent,little,little,2241,10,car,good,224.1
44,male,2,own,moderate,moderate,1804,12,car,good,150.33333333333334
26,male,2,own,unknown,unknown,2069,10,furniture/equipment,good,206.9
36,male,1,own,little,little,1374,6,furniture/equipment,good,229.0
39,male,1,own,little,unknown,426,6,radio/TV,good,71.0
42,female,2,rent,rich,rich,409,12,radio/TV,good,34.083333333333336
34,male,2,own,little,moderate,2415,7,radio/TV,good,345.0
63,male,2,own,little,little,6836,60,business,bad,113.93333333333334
36,male,2,own,rich,moderate,1913,18,business,good,106.27777777777777
27,male,2,own,little,little,4020,24,furniture/equipment,good,167.5
30,male,2,own,moderate,moderate,5866,18,car,good,325.8888888888889
57,male,1,rent,unknown,unknown,1264,12,business,good,105.33333333333333
33,female,3,own,little,rich,1474,12,furniture/equipment,good,122.83333333333333
25,male,1,own,little,moderate,4746,45,radio/TV,bad,105.46666666666667
31,male,2,free,little,unknown,6110,48,education,good,127.29166666666667
37,male,2,own,little,rich,2100,18,radio/TV,bad,116.66666666666667
37,male,2,own,little,rich,1225,10,domestic appliances,good,122.5
24,male,2,own,little,moderate,458,9,radio/TV,good,50.888888888888886
30,male,3,own,quite rich,unknown,2333,30,radio/TV,good,77.76666666666667
26,male,2,own,quite rich,moderate,1158,12,radio/TV,good,96.5
44,male,1,own,little,moderate,6204,18,repairs,good,344.6666666666667
24,male,2,rent,moderate,little,6187,30,car,good,206.23333333333332
58,female,1,free,little,little,6143,48,car,bad,127.97916666666667
35,female,3,own,little,unknown,1393,11,car,good,126.63636363636364
39,male,2,own,quite rich,unknown,2299,36,radio/TV,good,63.861111111111114
23,female,0,rent,quite rich,little,1352,6,car,good,225.33333333333334
39,male,1,own,little,unknown,7228,11,car,good,657.0909090909091
28,female,2,own,moderate,unknown,2073,12,radio/TV,good,172.75
29,male,1,own,unknown,moderate,2333,24,furniture/equipment,good,97.20833333333333
30,male,3,own,little,moderate,5965,27,car,good,220.92592592592592
25,male,2,own,little,unknown,1262,12,radio/TV,good,105.16666666666667
31,male,2,own,unknown,unknown,3378,18,car,good,187.66666666666666
57,male,2,free,little,moderate,2225,36,car,bad,61.80555555555556
26,male,1,own,unknown,unknown,783,6,car,good,130.5
52,male,3,own,unknown,moderate,6468,12,radio/TV,bad,539.0
31,female,2,own,little,unknown,9566,36,radio/TV,good,265.72222222222223
23,female,3,own,little,rich,1961,18,car,good,108.94444444444444
23,female,1,rent,little,little,6229,36,furniture/equipment,bad,173.02777777777777
27,male,2,own,little,moderate,1391,9,business,good,154.55555555555554
50,male,2,own,unknown,moderate,1537,15,radio/TV,good,102.46666666666667
61,male,3,free,little,moderate,1953,36,business,bad,54.25
25,male,2,own,little,moderate,14421,48,business,bad,300.4375
26,female,2,own,little,unknown,3181,24,radio/TV,good,132.54166666666666
48,male,2,own,unknown,unknown,5190,27,repairs,good,192.22222222222223
29,female,2,own,little,unknown,2171,12,radio/TV,good,180.91666666666666
22,male,2,own,rich,moderate,1007,12,car,good,83.91666666666667
37,male,2,free,little,unknown,1819,36,education,bad,50.52777777777778
25,female,2,own,unknown,unknown,2394,36,radio/TV,good,66.5
30,female,2,own,little,unknown,8133,36,car,good,225.91666666666666
46,male,1,rent,unknown,unknown,730,7,radio/TV,good,104.28571428571429
51,male,3,free,little,little,1164,8,vacation/others,good,145.5
41,female,1,own,little,moderate,5954,42,business,good,141.76190476190476
40,male,3,own,unknown,little,1977,36,education,bad,54.916666666666664
66,male,3,free,little,little,1526,12,car,good,127.16666666666667
34,male,2,own,little,little,3965,42,radio/TV,bad,94.4047619047619
51,male,2,own,little,moderate,4771,11,radio/TV,good,433.72727272727275
39,male,1,own,unknown,unknown,9436,54,car,good,174.74074074074073
22,male,2,own,little,moderate,3832,30,furniture/equipment,good,127.73333333333333
44,female,2,own,unknown,unknown,5943,24,radio/TV,bad,247.625
47,male,2,own,quite rich,unknown,1213,15,radio/TV,good,80.86666666666666
24,female,1,rent,moderate,unknown,1568,18,business,good,87.11111111111111
58,female,1,own,little,little,1755,24,vacation/others,good,73.125
52,male,1,own,little,little,2315,10,radio/TV,good,231.5
29,female,3,own,little,unknown,1412,12,business,good,117.66666666666667
